#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:Gene_u47_unique" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:Gene_u47_unique" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:Gene_u47_unique" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:Gene_u47_unique" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:Gene_u47_unique" spec="beast.base.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.Gene_u47_unique" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:Gene_u47_unique" name="distribution">
#            <parameter id="gammaShape.s:Gene_u47_unique" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Gene_u47_unique" name="distribution">
#            <parameter id="kappa.s:Gene_u47_unique" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.14" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.15" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:Gene_u47_unique" name="distribution" x="@popSize.t:Gene_u47_unique">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Gene_u47_unique" id="treeLikelihood.Gene_u47_unique" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Gene_u47_unique">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Gene_u47_unique" shape="@gammaShape.s:Gene_u47_unique" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:Gene_u47_unique" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Gene_u47_unique" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Gene_u47_unique" kappa="@kappa.s:Gene_u47_unique" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@Gene_u47_unique" id="empiricalFreqs.s:Gene_u47_unique" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Gene_u47_unique" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Gene_u47_unique" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	gammaShape	kappa	popSize	CoalescentConstant	mutationRate
0	-899.2935507202958	-873.2147523172588	-26.078798403037002	-873.2147523172588	1.0219717482138453	4.428487088387463	1.0	2.0	0.3	-24.41741117338865	1.0
5000	-451.1532149284574	-477.9499028729843	26.796687944526898	-477.9499028729843	0.121496695388091	0.32563411253763686	0.17167673224209665	2.0	0.03658270155370028	25.52554492529647	1.0
10000	-445.3655875505067	-472.06269731904376	26.697109768537093	-472.06269731904376	0.05475852665869758	0.20785456014149553	0.17167673224209665	2.0	0.03678849041135209	25.43157629146536	1.0
15000	-453.513768629017	-475.5010680054365	21.98729937641944	-475.5010680054365	0.04441044446969801	0.21593052528782017	0.17167673224209665	1.9372976386216878	0.04101430777195095	20.805228876720253	1.0
20000	-450.7585048405418	-476.01582834031683	25.25732349977503	-476.01582834031683	0.0486551982650701	0.21108580491551263	0.17167673224209665	1.8124296682216805	0.06347739014135989	24.461253133539717	1.0
25000	-436.6540645956021	-469.6649499150724	33.01088531947028	-469.6649499150724	0.04195744317813159	0.14707997971051365	0.17167673224209665	2.0168325534467977	0.030096501880496923	31.551333369241554	1.0
30000	-446.06864316626917	-474.9432706470376	28.874627480768414	-474.9432706470376	0.04324366201052948	0.17520604764395473	0.6672456436765426	2.0168325534467977	0.041582144473273665	28.233906349301506	1.0
35000	-440.7857300846284	-472.1380248323818	31.352294747753348	-472.1380248323818	0.029902594509185317	0.1128875897944651	2.0189215528070603	1.9845796738435573	0.039913908566414365	32.009345068898526	1.0
40000	-437.70258022742945	-471.694426864634	33.99184663720456	-471.694426864634	0.03616545209202184	0.11118878039105064	2.0189215528070603	1.9845796738435573	0.0281898009954704	34.30113235527091	1.0
45000	-441.371604970028	-465.5976406196213	24.22603564959329	-465.5976406196213	0.03475856365786936	0.14585043368953152	4.421600426102189	2.421356143548447	0.030918125707669553	27.20191487924785	1.0
50000	-442.18744649845246	-467.11159083800123	24.924144339548747	-467.11159083800123	0.05640533715621001	0.18441721988311566	4.366166033740431	2.9031063468525096	0.04451866743058918	28.387711788828152	1.0
55000	-438.2552891096512	-465.74895973788364	27.493670628232472	-465.74895973788364	0.05162367819719822	0.16931763205850603	3.042583617038718	3.5021385382800134	0.03378754381336483	29.564590501231574	1.0
60000	-435.467686983149	-467.7361916938756	32.268504710726575	-467.7361916938756	0.049010308168178224	0.15028778970380452	0.8827407734308945	4.714707192690812	0.03208623622625804	32.501728171902855	1.0
65000	-435.22521312283544	-466.11448935851075	30.889276235675307	-466.11448935851075	0.04088455922037106	0.1458530206565119	0.8827407734308945	4.714707192690812	0.023447384512992737	30.80883149071004	1.0
70000	-442.108276192111	-467.7523674398037	25.64409124769268	-467.7523674398037	0.05727456505521078	0.20910813067867878	0.8827407734308945	6.365076659396213	0.05009183189103626	26.75749277371187	1.0
75000	-432.9042893406866	-464.64954634131817	31.745257000631547	-464.64954634131817	0.03628995977519685	0.12955163042973747	0.44168970227373094	5.515848674975183	0.02125199047885075	31.34558443782887	1.0
80000	-440.1226330429591	-466.1845468969985	26.06191385403938	-466.1845468969985	0.04958230668807827	0.17981536161629175	2.4794780349815944	10.104989579182678	0.029777137632049425	29.03418363779419	1.0
85000	-439.2074083519239	-468.36532241169095	29.157914059767062	-468.36532241169095	0.035094679715251785	0.13217560899052813	2.4794780349815944	9.048080572170129	0.026716923858956732	31.822331276544233	1.0
90000	-448.11602710481196	-474.03920439806404	25.92317729325207	-474.03920439806404	0.03399717729174949	0.15815597772206802	2.4794780349815944	6.213425854054477	0.031108070859762842	28.119866935057136	1.0
