#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:Gene_u90_unique" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:Gene_u90_unique" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:Gene_u90_unique" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:Gene_u90_unique" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:Gene_u90_unique" spec="beast.base.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.Gene_u90_unique" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="FrequenciesPrior.s:Gene_u90_unique" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Gene_u90_unique" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.13" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="KappaPrior.s:Gene_u90_unique" name="distribution">
#            <parameter id="kappa.s:Gene_u90_unique" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.14" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.15" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:Gene_u90_unique" name="distribution" x="@popSize.t:Gene_u90_unique">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Gene_u90_unique" id="treeLikelihood.Gene_u90_unique" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Gene_u90_unique">
#            <siteModel id="SiteModel.s:Gene_u90_unique" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Gene_u90_unique" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Gene_u90_unique" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Gene_u90_unique" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Gene_u90_unique" kappa="@kappa.s:Gene_u90_unique" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Gene_u90_unique" id="estimatedFreqs.s:Gene_u90_unique" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Gene_u90_unique" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Gene_u90_unique" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	popSize	CoalescentConstant	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-5724.021802810309	-5673.0515324274365	-50.97027038287228	-5673.0515324274365	1.1145348264128443	5.810571923623765	0.3	-54.405584326713914	2.0	0.25	0.25	0.25	0.25
5000	-1511.0656252339204	-1564.9245154042326	53.85889017031229	-1564.9245154042326	0.3132301167485056	0.802198448276279	0.04956981801572282	49.12129221164265	3.301156648116903	0.23558330438991487	0.24806658151191122	0.2703011699018155	0.2460489441963583
10000	-1483.7144869413198	-1540.7096046015831	56.995117660263276	-1540.7096046015831	0.3473067797119408	0.8185686230653116	0.04805804602008381	52.216439327979266	3.301156648116903	0.24364595097909736	0.24806658151191122	0.2622385233126331	0.2460489441963583
15000	-1485.1679087888115	-1540.2479438214461	55.08003503263477	-1540.2479438214461	0.3579929228609048	0.8473086869595443	0.050213889353030096	50.5905478054469	4.05626528303582	0.24364595097909736	0.24514712442765701	0.2622385233126331	0.2489684012806125
20000	-1479.0588616769276	-1537.1884238566608	58.12956217973324	-1537.1884238566608	0.3529360471939497	0.837042840237679	0.047873164897474535	53.333275493506804	3.251952231390579	0.24364595097909736	0.23910708911293302	0.2622385233126331	0.2550084365953365
25000	-1480.498392312051	-1535.0707349636177	54.5723426515668	-1535.0707349636177	0.366136077074113	0.8654769688961548	0.041801151147706356	49.78857375717302	3.6967003570017156	0.24364595097909736	0.23910708911293302	0.2622385233126331	0.2550084365953365
30000	-1474.145829899559	-1532.106845834216	57.961015934657205	-1532.106845834216	0.32325883212249373	0.7784269690934065	0.04743289339521716	53.32088201551549	3.6967003570017156	0.23706140144019233	0.231209233418138	0.2622385233126331	0.26949084182903654
35000	-1475.6745729583197	-1531.332942769994	55.65836981167414	-1531.332942769994	0.38273622451162376	0.8938211901730153	0.057025311021380025	51.20241517329903	3.6967003570017156	0.23706140144019233	0.231209233418138	0.2622385233126331	0.26949084182903654
40000	-1472.99194218887	-1527.420330862458	54.428388673587946	-1527.420330862458	0.44890638940356503	1.0256235839644274	0.05567154703486524	50.87963996089082	6.474274524338607	0.22153348901207282	0.21467580679153508	0.23447774047760242	0.32931296371878976
45000	-1468.5606117466955	-1527.3042759336136	58.74366418691808	-1527.3042759336136	0.33842895434739484	0.799535162239276	0.03968707966861087	54.85647196859992	6.474274524338607	0.22153348901207282	0.21467580679153508	0.23447774047760242	0.32931296371878976
50000	-1479.5412824345221	-1533.9074477243457	54.36616528982361	-1533.9074477243457	0.3630344466293675	0.8878435513018031	0.043751362054642404	50.57410574330381	6.474274524338607	0.2289716175241931	0.21467580679153508	0.22703961196548214	0.32931296371878976
55000	-1462.161591711621	-1521.7944537839119	59.63286207229091	-1521.7944537839119	0.35935380135326966	0.8343498142881438	0.0363531387677074	55.35397450009031	5.288430764466564	0.2289716175241931	0.21467580679153508	0.22703961196548214	0.32931296371878976
60000	-1465.2424138145661	-1523.481922313753	58.239508499186954	-1523.481922313753	0.34654318855184496	0.8149875746522428	0.049257063295713104	53.95574665826593	4.209693916353552	0.2289716175241931	0.21467580679153508	0.22703961196548214	0.32931296371878976
65000	-1466.8488421443687	-1520.2193856704469	53.370543526078016	-1520.2193856704469	0.3453456758782505	0.8326322303284966	0.0651596101066874	49.3774405912343	4.209693916353552	0.24175283445002962	0.21467580679153508	0.2142583950396456	0.32931296371878976
70000	-1459.486239860985	-1515.8908436821723	56.40460382118732	-1515.8908436821723	0.3830164350680614	0.8868940952655372	0.04949902440370885	52.392324480978246	4.6477434285114185	0.3032746158479433	0.1948722574267865	0.19134884402615926	0.31050428269911107
75000	-1464.0773565091858	-1517.4993044967716	53.42194798758569	-1517.4993044967716	0.3568498611310085	0.8418336087487528	0.034157598906820935	49.03870076384915	4.6477434285114185	0.3032746158479433	0.1948722574267865	0.19134884402615926	0.31050428269911107
