#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:Gene_u69_unique" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:Gene_u69_unique" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:Gene_u69_unique" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:Gene_u69_unique" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:Gene_u69_unique" spec="beast.base.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.Gene_u69_unique" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="KappaPrior.s:Gene_u69_unique" name="distribution">
#            <parameter id="kappa.s:Gene_u69_unique" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:Gene_u69_unique" name="distribution" x="@popSize.t:Gene_u69_unique">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Gene_u69_unique" id="treeLikelihood.Gene_u69_unique" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Gene_u69_unique">
#            <siteModel id="SiteModel.s:Gene_u69_unique" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Gene_u69_unique" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Gene_u69_unique" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Gene_u69_unique" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Gene_u69_unique" kappa="@kappa.s:Gene_u69_unique" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@Gene_u69_unique" id="empiricalFreqs.s:Gene_u69_unique" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Gene_u69_unique" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Gene_u69_unique" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	kappa	popSize	CoalescentConstant
0	-3567.293397153261	-3550.7444305620465	-16.548966591214633	-3550.7444305620465	2.0564523798679333	5.712815569145604	2.0	0.3	-15.887579361566281
5000	-1190.3323145936156	-1210.5726562418338	20.240341648218223	-1210.5726562418338	0.026496972172365525	0.06160638559654377	2.5410856768312162	0.009461013162751688	17.655893405535817
10000	-1189.3111101689376	-1209.9392655912773	20.62815542233968	-1209.9392655912773	0.029447755896190288	0.06531428304396589	2.5432934555478153	0.010066751066169196	18.106596952919823
15000	-1189.6293442733038	-1209.673208782924	20.043864509620096	-1209.673208782924	0.030809677290133966	0.06681016684086251	3.376497557135843	0.004962939337524896	17.112074556481122
20000	-1186.4557004930477	-1208.6103125731045	22.154612080056623	-1208.6103125731045	0.020172552848795933	0.044211933692255255	4.29455744523666	0.003625560451122464	19.20122993100502
25000	-1187.415096634764	-1207.9677982264463	20.5527015916824	-1207.9677982264463	0.030143225890036176	0.06592985013270382	3.5872838712973443	0.006855472831777953	18.014094433264134
30000	-1190.7987246382359	-1209.0374748761114	18.238750237875596	-1209.0374748761114	0.024965362830969	0.05959764730323375	4.446895534114294	0.018710520287183584	16.971894639362965
35000	-1192.336460417496	-1209.6779031656547	17.34144274815864	-1209.6779031656547	0.025744060081732786	0.05823204887677624	3.0566492113673176	0.028941549645166778	16.062771528143006
40000	-1191.1834654310549	-1212.0248732179937	20.841407786938856	-1212.0248732179937	0.021540626624725317	0.05134720037333726	3.0566492113673176	0.009225963933718207	18.419479976254397
45000	-1188.427882077172	-1208.4593068871934	20.03142481002152	-1208.4593068871934	0.02750139669437921	0.06043823876964645	6.886284863152323	0.008535579707614972	18.616015980588557
50000	-1188.6336906325812	-1209.3145244531836	20.68083382060247	-1209.3145244531836	0.02505940895311987	0.05653459071204842	3.879204893809315	0.009286058076942699	18.53977628875559
55000	-1187.8631102611632	-1208.9478770388569	21.084766777693623	-1208.9478770388569	0.023826313152064627	0.05379225574066267	3.879204893809315	0.00683006668498899	18.636529539097644
60000	-1188.8625801533565	-1207.6868126674344	18.824232514077984	-1207.6868126674344	0.02965531643307858	0.0665431127322764	5.677098286782202	0.006257928112001319	16.80239886596008
65000	-1190.2234212234841	-1207.9590018517429	17.735580628258816	-1207.9590018517429	0.027262161475556428	0.060574377558504165	8.276086121457128	0.018630631245046606	17.404754467580144
70000	-1188.5317646172784	-1209.6367247015792	21.104960084300686	-1209.6367247015792	0.02024185083062694	0.045340318059929115	4.020759489136478	0.011560556786112746	19.22739653627829
75000	-1187.9537269359932	-1207.5140068723858	19.56027993639259	-1207.5140068723858	0.02638533635308952	0.060205036658026984	5.237123500582185	0.011491540912079878	18.029602310977136
80000	-1190.6765943819012	-1208.3611294688512	17.684535086950127	-1208.3611294688512	0.02336847192378669	0.052118718370305295	5.237123500582185	0.024914603109111644	16.92770037150419
85000	-1191.2895939647624	-1207.7867306815554	16.49713671679304	-1207.7867306815554	0.028606965754932635	0.0645909899053591	6.238391829220951	0.027728732028649943	16.105487006339516
90000	-1190.2769364867054	-1208.926604145347	18.649667658641626	-1208.926604145347	0.02957592018320499	0.0670781677986697	6.238391829220951	0.005637640836130291	16.665014501757952
