#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:Gene_u86_unique" spec="beast.base.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:Gene_u86_unique" spec="beast.base.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:Gene_u86_unique" lower="0.0" name="popSize" spec="beast.base.inference.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:Gene_u86_unique" spec="beast.base.evolution.tree.TreeIntervals">
#                <tree id="Tree.t:Gene_u86_unique" spec="beast.base.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.Gene_u86_unique" spec="beast.base.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:Gene_u86_unique" name="distribution">
#            <parameter id="gammaShape.s:Gene_u86_unique" lower="0.1" name="x" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:Gene_u86_unique" name="distribution">
#            <parameter id="kappa.s:Gene_u86_unique" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:Gene_u86_unique" name="distribution" x="@popSize.t:Gene_u86_unique">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Gene_u86_unique" id="treeLikelihood.Gene_u86_unique" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Gene_u86_unique">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:Gene_u86_unique" shape="@gammaShape.s:Gene_u86_unique" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Gene_u86_unique" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Gene_u86_unique" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Gene_u86_unique" kappa="@kappa.s:Gene_u86_unique" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies data="@Gene_u86_unique" id="empiricalFreqs.s:Gene_u86_unique" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Gene_u86_unique" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Gene_u86_unique" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	kappa	gammaShape	popSize	CoalescentConstant
0	-1193.7671173417484	-1184.3457603886895	-9.421356953058819	-1184.3457603886895	1.8118974020027154	4.449572139704869	2.0	1.0	0.3	-7.759969723410467
5000	-789.2401801754048	-787.8766207811271	-1.3635593942776318	-787.8766207811271	0.30234805178019486	0.6248746740150398	2.0	3.198383311798706	0.3993907545619349	2.782368944909374
10000	-788.884814434703	-789.1187448312669	0.23393039656393833	-789.1187448312669	0.33449314148772513	0.6865567382689471	1.8070727786526988	5.582839378601153	0.10747974227701887	5.3734519327256205
15000	-784.1100457503269	-785.2615134768766	1.1514677265497757	-785.2615134768766	0.30097319158478336	0.6066044377601943	2.3895605176724786	5.582839378601153	0.049752993473562816	5.752130094406892
20000	-782.1679911726484	-782.2625226578367	0.09453148518829924	-782.2625226578367	0.46432024276465855	0.9417833583422247	3.527099089970423	2.7718055842678138	0.22145881718212285	3.7830875022835704
25000	-780.1214678907713	-782.4186026643516	2.2971347735802907	-782.4186026643516	0.43709973009042824	0.8861320867502157	2.799174859971368	2.071450804270881	0.06760688594475309	3.8462220850313713
30000	-780.9417592149307	-782.9002604302614	1.9585012153307184	-782.9002604302614	0.5504562112507977	1.114879871149764	2.799174859971368	1.0303481445035472	0.07601339195758716	2.5836855607966056
35000	-783.7746694480846	-785.6237404727908	1.8490710247061848	-785.6237404727908	0.5906530616315439	1.2022551168058517	2.799174859971368	1.0303481445035472	0.1721686509575318	3.2918203606725758
40000	-784.064414521872	-787.3953632487679	3.330948726895967	-787.3953632487679	0.4018234077825373	0.8185970866966785	3.8745375484968942	1.0303481445035472	0.12376097200383515	4.808599814184721
45000	-789.8083564704261	-784.919708064556	-4.888648405870154	-784.919708064556	0.866968495000231	1.7570124999474968	7.538935880202457	0.9355500978257523	0.88936145550302	-0.5752058145032707
50000	-789.7974870196676	-785.5520899540926	-4.245397065575043	-785.5520899540926	0.9875156105562921	2.0000994357997466	7.538935880202457	0.9355500978257523	0.7191553490305774	-0.1443808166933616
55000	-785.0193444016833	-781.7138134493644	-3.3055309523189416	-781.7138134493644	0.7826396546994421	1.5764807904482507	7.538935880202457	0.9355500978257523	0.6123194442269412	0.6346620135760639
60000	-790.8964302934656	-791.4615118619531	0.5650815684875177	-791.4615118619531	0.4535990027126263	0.9187464593710267	7.538935880202457	0.6044670516062806	0.27831805972678136	3.3857019335813194
65000	-791.979361666842	-784.8642799877895	-7.11508167905257	-784.8642799877895	1.4408679333434296	2.8978520911179744	8.283097405967395	0.6044670516062806	1.4400787419138477	-2.492344333610177
70000	-780.9812085255369	-782.2316657323291	1.2504572067922362	-782.2316657323291	0.6216829419721551	1.2543482663083536	6.17201255981858	0.7039112662249257	0.11233749052154109	2.9454090008051406
75000	-785.0896151556872	-782.6542489608694	-2.4353661948177683	-782.6542489608694	1.032077573153392	2.0823220923893584	8.345351987210185	0.5207557708268039	0.423081161219663	0.8916160327863364
80000	-785.7216649868936	-781.2450548495402	-4.47661013735344	-781.2450548495402	1.6386798726868108	3.2865042980538015	12.679341411163392	0.5207557708268039	0.305176087241963	-0.7017782243076942
85000	-786.4336372952729	-785.8296648159591	-0.6039724793138479	-785.8296648159591	0.6424203024133245	1.2945518829606293	7.333791971117065	0.6015200765998625	0.33844848983974	2.363952381785677
90000	-788.2153945198144	-782.4209261164389	-5.7944684033754905	-782.4209261164389	1.8401339337472697	3.6935931418311188	11.263337122999133	0.5422573009820713	0.2150427891771991	-2.5788342292421937
